metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
Merton_College_MS_306_measure_2,manuscript_10403,Merton_College,Merton_College_MS_306,Merton College MS. 306,part,,Merton_College_MS_306-part1,,,,,,,,,,,,,,,,,,,,285.0,285.0,285.0,190.0,190.0,190.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,66.0,66.0,66.0,230.0,230.0,230.0,145.0,145.0,145.0,mm,,,,,,,,,,,,
Merton_College_MS_306_measure_3,manuscript_10403,Merton_College,Merton_College_MS_306,Merton College MS. 306,fragment,,Merton_College_MS_306-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,41.0,41.0,41.0,230.0,230.0,230.0,190.0,190.0,190.0,mm,,,,,,,,,,,,
Merton_College_MS_307_measure_1,manuscript_10404,Merton_College,Merton_College_MS_307,Merton College MS. 307,manuscript,,Merton_College_MS_307,108 leaves (iv + 104),104.0,,4.0,,,,,,,,,,,,,,,,280.0,280.0,280.0,185.0,185.0,185.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,30.0,30.0,30.0,195.0,195.0,195.0,115.0,115.0,115.0,mm,,,,,,,,,,,,
Merton_College_MS_308_measure_1,manuscript_10405,Merton_College,Merton_College_MS_308,Merton College MS. 308,manuscript,,Merton_College_MS_308,290 leaves (i + 289) The edges savagely retrimmed with loss of marginalia.,289.0,,1.0,,,,,,,,,,,,,,,,280.0,280.0,280.0,185.0,185.0,185.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,43.0,43.0,43.0,200–25,225.0,200.0,130.0,130.0,130.0,mm,,,,,,,,,,,,
Merton_College_MS_309_measure_1,manuscript_10406,Merton_College,Merton_College_MS_309,Merton College MS. 309,manuscript-composite,,Merton_College_MS_309,"209 leaves (iv + 204, incl. 88A) The edges heavily retrimmed with loss of marginalia, and stained red.",204.0,,4.0,,,,,,,,,,,,,,,,265.0,265.0,265.0,190.0,190.0,190.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merton_College_MS_309_measure_2,manuscript_10406,Merton_College,Merton_College_MS_309,Merton College MS. 309,part,,Merton_College_MS_309-part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,24.0,24.0,24.0,240.0,240.0,240.0,170.0,170.0,170.0,mm,,,,,,,,,,,,
Merton_College_MS_309_measure_3,manuscript_10406,Merton_College,Merton_College_MS_309,Merton College MS. 309,part,,Merton_College_MS_309-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,19.0,19.0,19.0,140.0,140.0,140.0,75.0,75.0,75.0,mm,,,,,,,,,,,,
Merton_College_MS_309_measure_4,manuscript_10406,Merton_College,Merton_College_MS_309,Merton College MS. 309,part,,Merton_College_MS_309-part3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,60.0,60.0,60.0,200.0,200.0,200.0,145.0,145.0,145.0,mm,,,,,,,,,,,,
Merton_College_MS_309_measure_5,manuscript_10406,Merton_College,Merton_College_MS_309,Merton College MS. 309,part,,Merton_College_MS_309-part4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,32.0,32.0,32.0,220.0,220.0,220.0,110.0,110.0,110.0,mm,,,,,,,,,,,,
Merton_College_MS_310_measure_1,manuscript_10407,Merton_College,Merton_College_MS_310,Merton College MS. 310,manuscript,,Merton_College_MS_310,"104 leaves (v + 99) All edges retrimmed and spattered red. Contemporary foliation runs 1–60, 114–49.",99.0,,5.0,,,,,,,,,,,,,,,,260.0,260.0,260.0,180.0,180.0,180.0,,,,mm,2.0,2.0,2.0,,,,,,,,,,,,48.0,48.0,48.0,185.0,185.0,185.0,110.0,110.0,110.0,mm,,,,,,,,,,,,
